ID,Altitude,LAT,LON,PRECIP_ANN,TMIN_ANN,TMAX_ANN
POINTE DES TROIS-BASSINS,5,-21.105,55.247,447.7,21.5,28.4
PONT-MATHURIN,20,-21.259,55.374,684.6,19.3,28.7
LIGNE-PARADIS - CIRAD,156,-21.319,55.485,940.1,18.8,27.8
LE PORT,9,-20.946,55.282,579.3,21.8,29.1
COLIMACONS,798,-21.13,55.304,1104.4,15.6,22.6
GILLOT-AEROPORT,8,-20.892,55.528,1658.6,20.8,27.7
CILAOS,1197,-21.134,55.471,1852.7,11.1,22.3
GRAND-COUDE_SAPC,1085,-21.301,55.631,2860,11.8,21.3
LE BARIL,115,-21.359,55.732,4256.2,19.9,26.4
HAUTS DE SAINTE-ROSE_SAPC,820,-21.159,55.763,3732.2,20.3,26.6
PLAINE DES CAFRES,1560,-21.209,55.572,2020.2,9.1,18.7
SAINT-BENOIT,43,-21.058,55.719,3531.5,19.6,27.5
MARE A VIEILLE PLACE,870,-21.027,55.512,3231.5,14.4,23.1
BELLEVUE BRAS-PANON,480,-21.005,55.622,4732.6,17.6,23.4
PLAINE DES PALMISTES,1032,-21.136,55.627,4571,12.7,20.8
BELLECOMBE,2245,-21.217,55.687,5190.2,6.6,15.9
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
