DATE;HEURE;LAT;LON;SEXE;AGE
03/02/2008;23:34;-46.363;51.71;F;16
04/02/2008;23:12;-44.215;47.146;F;16
05/02/2008;00:11;-44.322;49.265;F;16
05/02/2008;00:46;-44.204;49.591;F;16
05/02/2008;01:48;-44.017;49.456;F;16
05/02/2008;02:29;-44.071;50.588;F;16
05/02/2008;03:42;-44.488;51.557;F;16
05/02/2008;03:46;-44.397;51.799;F;16
05/02/2008;05:20;-44.573;52.738;F;16
05/02/2008;06:58;-44.307;53.088;F;16
06/02/2008;09:04;-45.545;61.066;F;16
06/02/2008;10:36;-45.952;61.318;F;16
06/02/2008;12:18;-45.798;61.103;F;16
06/02/2008;12:34;-45.82;61.083;F;16
06/02/2008;13:58;-45.964;60.963;F;16
06/02/2008;14:18;-45.939;60.988;F;16
06/02/2008;15:39;-45.853;61.497;F;16
06/02/2008;15:55;-46.069;62.082;F;16
06/02/2008;17:20;-46.158;61.49;F;16
06/02/2008;18:50;-46.176;61.565;F;16
06/02/2008;18:59;-46.19;61.551;F;16
07/02/2008;20:20;-46.141;67.069;F;16
07/02/2008;21:57;-46.925;71.309;F;16
07/02/2008;23:37;-46.923;71.309;F;16
08/02/2008;01:18;-46.912;71.354;F;16
08/02/2008;02:34;-46.912;71.598;F;16
08/02/2008;02:42;-47.01;71.196;F;16
08/02/2008;04:11;-47.342;72.378;F;16
08/02/2008;04:22;-47.197;72.136;F;16
09/02/2008;05:26;-47.464;73.389;F;16
09/02/2008;08:28;-47.387;73.303;F;16
09/02/2008;10:10;-47.135;72.755;F;16
09/02/2008;11:25;-47.214;71.916;F;16
09/02/2008;11:43;-47.025;71.703;F;16
09/02/2008;11:50;-46.549;71.824;F;16
09/02/2008;13:22;-47.057;70.383;F;16
10/02/2008;14:26;-46.368;66.406;F;16
10/02/2008;17:19;-46.31;66.536;F;16
10/02/2008;17:38;-45.943;68.498;F;16
10/02/2008;18:57;-46.324;66.553;F;16
10/02/2008;19:15;-46.325;66.573;F;16
10/02/2008;19:51;-46.328;66.573;F;16
10/02/2008;21:32;-46.31;66.565;F;16
10/02/2008;22:27;-46.317;66.504;F;16
10/02/2008;23:00;-46.328;66.418;F;16
12/02/2008;00:30;-46.062;67.59;F;16
12/02/2008;01:20;-45.966;67.56;F;16
12/02/2008;02:39;-46.131;67.465;F;16
12/02/2008;03:03;-46.297;67.523;F;16
12/02/2008;04:19;-46.594;67.188;F;16
12/02/2008;04:41;-46.74;67.337;F;16
12/02/2008;05:59;-47.245;67.205;F;16
12/02/2008;06:22;-47.523;67.112;F;16
12/02/2008;07:55;-48.143;66.939;F;16
12/02/2008;09:38;-48.196;67.063;F;16
13/02/2008;12:36;-48.58;59.994;F;16
13/02/2008;13:08;-48.778;59.751;F;16
13/02/2008;14:18;-48.916;59.386;F;16
13/02/2008;14:48;-49.227;59.268;F;16
13/02/2008;15:55;-49.48;58.848;F;16
13/02/2008;16:27;-49.743;58.898;F;16
13/02/2008;16:31;-49.794;58.872;F;16
13/02/2008;17:47;-49.758;58.933;F;16
13/02/2008;19:23;-49.716;58.972;F;16
13/02/2008;19:27;-49.752;58.961;F;16
14/02/2008;20:43;-46.003;55.066;F;16
14/02/2008;22:33;-45.995;55.123;F;16
15/02/2008;00:11;-45.921;55.023;F;16
15/02/2008;01:34;-45.766;54.468;F;16
15/02/2008;01:50;-45.755;54.385;F;16
15/02/2008;03:12;-45.507;54.149;F;16
15/02/2008;03:40;-45.545;53.63;F;16
15/02/2008;04:48;-45.629;53.035;F;16
16/02/2008;06:37;-46.378;51.695;F;16
08/02/2008;08:41;-46.36;51.71;F;24
08/02/2008;11:52;-45.652;52.07;F;24
08/02/2008;12:04;-46.018;51.681;F;24
08/02/2008;13:28;-46.214;51.199;F;24
08/02/2008;15:10;-46.227;51.362;F;24
08/02/2008;16:37;-46.106;51.379;F;24
08/02/2008;18:16;-46.259;51.213;F;24
09/02/2008;19:20;-45.565;51.225;F;24
09/02/2008;19:37;-45.474;51.38;F;24
09/02/2008;20:59;-45.536;51.252;F;24
09/02/2008;21:42;-45.568;51.444;F;24
09/02/2008;23:12;-45.546;51.26;F;24
09/02/2008;23:24;-45.541;51.226;F;24
10/02/2008;00:30;-45.574;51.415;F;24
10/02/2008;00:54;-45.651;51.244;F;24
10/02/2008;02:10;-46.243;51.51;F;24
10/02/2008;02:34;-46.213;51.403;F;24
10/02/2008;03:44;-46.343;51.423;F;24
11/02/2008;06:20;-40.251;48.505;F;24
11/02/2008;06:39;-40.064;48.127;F;24
11/02/2008;08:00;-39.663;47.93;F;24
11/02/2008;08:02;-39.714;47.896;F;24
11/02/2008;09:53;-39.173;47.617;F;24
11/02/2008;11:34;-38.761;47.135;F;24
11/02/2008;13:02;-38.956;46.736;F;24
11/02/2008;14:00;-38.752;46.756;F;24
11/02/2008;14:43;-38.687;46.652;F;24
11/02/2008;15:38;-38.553;46.272;F;24
12/02/2008;16:12;-39.838;36.921;F;24
12/02/2008;16:56;-39.927;36.569;F;24
12/02/2008;18:15;-39.909;36.445;F;24
12/02/2008;18:38;-39.915;36.685;F;24
12/02/2008;19:53;-39.958;36.699;F;24
12/02/2008;20:19;-39.974;36.816;F;24
12/02/2008;21:11;-39.789;36.394;F;24
12/02/2008;21:34;-39.661;36.176;F;24
12/02/2008;22:51;-39.699;35.853;F;24
13/02/2008;00:16;-39.326;35.3;F;24
13/02/2008;00:31;-39.289;34.999;F;24
13/02/2008;00:57;-39.038;34.89;F;24
13/02/2008;01:58;-39.154;34.739;F;24
14/02/2008;03:28;-39.003;37.146;F;24
14/02/2008;03:52;-38.929;37.132;F;24
14/02/2008;05:12;-38.584;36.974;F;24
14/02/2008;05:38;-38.599;37.046;F;24
14/02/2008;06:50;-38.631;37.067;F;24
14/02/2008;07:16;-38.64;36.974;F;24
14/02/2008;11:06;-38.631;37.001;F;24
15/02/2008;13:57;-39.158;37.771;F;24
15/02/2008;14:04;-39.175;37.802;F;24
15/02/2008;15:37;-39.125;37.727;F;24
15/02/2008;15:45;-39.161;37.682;F;24
15/02/2008;18:44;-39.193;37.584;F;24
15/02/2008;19:16;-39.144;37.405;F;24
15/02/2008;20:26;-39.118;37.623;F;24
15/02/2008;20:56;-39.117;37.573;F;24
15/02/2008;22:20;-39.092;37.633;F;24
17/02/2008;00:00;-38.79;38.188;F;24
17/02/2008;01:11;-38.732;38.194;F;24
17/02/2008;02:43;-38.477;37.989;F;24
17/02/2008;02:49;-38.325;38.017;F;24
17/02/2008;04:37;-39.028;37.557;F;24
17/02/2008;06:16;-38.956;37.837;F;24
17/02/2008;07:20;-39.187;38.296;F;24
17/02/2008;07:55;-39.203;38.271;F;24
18/02/2008;12:03;-39.479;38.72;F;24
18/02/2008;12:51;-39.426;38.972;F;24
18/02/2008;13:43;-39.595;39.008;F;24
18/02/2008;14:35;-39.526;38.974;F;24
18/02/2008;15:00;-39.553;39.035;F;24
18/02/2008;16:12;-39.603;38.644;F;24
18/02/2008;16:42;-39.642;38.413;F;24
18/02/2008;18:15;-39.898;38.047;F;24
18/02/2008;19:14;-39.567;38.391;F;24
18/02/2008;19:54;-39.362;38.818;F;24
18/02/2008;20:56;-39.252;39.012;F;24
19/02/2008;21:40;-37.813;39.346;F;24
19/02/2008;22:12;-37.599;39.604;F;24
19/02/2008;23:18;-37.895;39.699;F;24
19/02/2008;23:50;-38.036;39.76;F;24
20/02/2008;00:34;-38.045;39.728;F;24
20/02/2008;01:29;-37.996;39.54;F;24
20/02/2008;02:18;-38.029;39.739;F;24
20/02/2008;05:12;-37.866;39.559;F;24
20/02/2008;06:11;-37.866;39.68;F;24
20/02/2008;06:54;-37.858;39.633;F;24
21/02/2008;12:41;-44.634;50.478;F;24
21/02/2008;13:07;-45.003;50.541;F;24
21/02/2008;13:19;-44.945;50.676;F;24
21/02/2008;14:58;-45.663;51.421;F;24
21/02/2008;16:04;-45.468;51.18;F;24
21/02/2008;16:38;-46.277;51.696;F;24
21/02/2008;17:07;-46.344;51.538;F;24
24/02/2008;07:14;-46.355;51.698;F;24
24/02/2008;08:03;-46.294;51.595;F;24
24/02/2008;10:56;-46.283;52.036;F;24
24/02/2008;12:06;-46.256;51.547;F;24
24/02/2008;12:07;-46.284;51.535;F;24
24/02/2008;13:49;-46.257;51.246;F;24
25/02/2008;18:11;-42.181;43.987;F;24
25/02/2008;19:07;-42.22;43.85;F;24
25/02/2008;19:51;-42.175;43.975;F;24
25/02/2008;20:36;-42.162;44.068;F;24
25/02/2008;21:31;-42.194;44.028;F;24
25/02/2008;22:16;-42.157;43.936;F;24
26/02/2008;00:48;-42.194;44.036;F;24
27/02/2008;02:02;-38.653;40.692;F;24
27/02/2008;02:34;-37.863;36.755;F;24
27/02/2008;03:40;-37.456;36.29;F;24
27/02/2008;04:30;-37.443;35.776;F;24
27/02/2008;06:08;-36.947;35.01;F;24
27/02/2008;06:47;-36.824;34.55;F;24
27/02/2008;06:48;-36.859;34.711;F;24
27/02/2008;07:49;-36.837;34.488;F;24
27/02/2008;08:28;-36.85;34.844;F;24
27/02/2008;10:31;-36.977;34.674;F;24
28/02/2008;13:38;-38.514;32.942;F;24
28/02/2008;13:56;-38.378;33.001;F;24
28/02/2008;15:34;-38.936;33.171;F;24
28/02/2008;16:24;-39.181;33.144;F;24
28/02/2008;17:12;-39.501;32.78;F;24
28/02/2008;19:47;-39.554;33.213;F;24
28/02/2008;20:24;-39.573;33.206;F;24
28/02/2008;21:27;-39.719;33.12;F;24
28/02/2008;21:44;-39.722;32.931;F;24
28/02/2008;22:04;-39.712;32.871;F;24
01/03/2008;00:19;-40.023;35.21;F;24
01/03/2008;00:51;-40.03;35.27;F;24
01/03/2008;01:59;-40.085;35.596;F;24
01/03/2008;02:31;-40.155;35.694;F;24
01/03/2008;03:37;-39.408;36.772;F;24
01/03/2008;05:08;-39.815;36.689;F;24
01/03/2008;05:39;-39.409;36.719;F;24
01/03/2008;06:47;-39.335;37.019;F;24
01/03/2008;07:20;-39.287;37.357;F;24
01/03/2008;08:29;-39.144;37.427;F;24
02/03/2008;12:27;-39.569;40.452;F;24
02/03/2008;13:06;-39.762;40.466;F;24
02/03/2008;14:08;-39.856;40.824;F;24
02/03/2008;14:23;-39.911;40.829;F;24
02/03/2008;15:50;-39.73;40.587;F;24
02/03/2008;16:03;-39.724;40.745;F;24
02/03/2008;17:33;-39.768;41.545;F;24
02/03/2008;18:44;-39.837;42.138;F;24
02/03/2008;19:12;-39.869;42.387;F;24
03/03/2008;20:04;-39.946;43.12;F;24
03/03/2008;20:32;-40.021;43.032;F;24
03/03/2008;23:39;-40.212;42.826;F;24
03/03/2008;23:43;-40.098;43.137;F;24
04/03/2008;00:24;-39.944;43.058;F;24
04/03/2008;01:20;-40.002;42.94;F;24
04/03/2008;01:24;-40.052;43.076;F;24
04/03/2008;03:00;-40.301;42.796;F;24
04/03/2008;03:04;-40.474;42.84;F;24
05/03/2008;05:50;-45.425;47.574;F;24
05/03/2008;07:04;-45.681;48.585;F;24
05/03/2008;09:11;-46.351;49.92;F;24
05/03/2008;11:49;-46.166;51.613;F;24
05/03/2008;12:33;-46.358;51.588;F;24
05/03/2008;13:08;-46.313;51.658;F;24
05/03/2008;13:32;-46.378;51.62;F;24
05/03/2008;14:49;-46.426;51.619;F;24
05/03/2008;15:12;-46.437;51.582;F;24
06/03/2008;17:18;-46.351;51.651;F;24
17/01/2008;12:00;-46.33533;51.71633;F;22
17/01/2008;13:57;-46.028;51.882;F;22
17/01/2008;14:32;-45.723;52.318;F;22
18/01/2008;08:00;-41.82167;54.23617;F;22
18/01/2008;12:00;-41.264;54.66367;F;22
18/01/2008;16:00;-40.36517;55.48;F;22
19/01/2008;08:00;-37.07767;59.84183;F;22
